ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
21,DMK,48.49,57.33,GEN,Chennai Metro,TVK,43.7,Anna Nagar,Chennai,Chennai Metro,27445,16.62,21363,13.08,True,-6082
22,DMK,43.97,57.59,GEN,Chennai Metro,TVK,44.03,Virugampakkam,Chennai,Chennai Metro,18367,10.86,27086,15.67,True,8719
23,DMK,50.02,57.36,GEN,Chennai Metro,TVK,50.63,Saidapet,Chennai,Chennai Metro,29408,18.34,28514,17.78,True,-894
24,DMK,40.57,55.99,GEN,Chennai Metro,TVK,38.55,Theayagaraya Nagar,Chennai,Chennai Metro,137,0.1,13027,9.73,True,12890
25,DMK,44.58,56.6,GEN,Chennai Metro,TVK,46.53,Mylapore,Chennai,Chennai Metro,12633,8.23,28972,19.24,True,16339
26,INC,38.76,56.18,GEN,Chennai Metro,TVK,43.52,Velachery,Chennai,Chennai Metro,4352,2.46,33305,18.02,True,28953
27,DMK,44.18,55.51,GEN,Chennai Metro,TVK,49.27,Shozhinganallur,Kanchipuram,Chennai Metro,35405,9.12,96780,21.64,True,61375
28,DMK,49.12,60.82,GEN,Chennai Metro,TVK,42.9,Alandur,Kanchipuram,Chennai Metro,40571,17.06,29609,11.32,True,-10962
29,INC,43.65,73.94,SC,Chennai Metro,TVK,44.58,Sriperumbudur,Kanchipuram,Chennai Metro,10879,4.12,54246,16.38,True,43367
30,DMK,47.49,60.86,GEN,Chennai Metro,TVK,47.1,Pallavaram,Kanchipuram,Chennai Metro,37781,14.19,54693,19.28,True,16912
31,DMK,46.93,59.55,GEN,Chennai Metro,TVK,42.67,Tambaram,Kanchipuram,Chennai Metro,36824,14.79,35621,12.78,True,-1203
32,DMK,47.64,63.54,GEN,Chennai Metro,TVK,42.32,Chengalpattu,Kanchipuram,Chennai Metro,26665,9.73,35641,11.0,True,8976
33,VCK,41.44,76.36,GEN,North,TVK,41.96,Thiruporur,Kanchipuram,North,1947,0.86,39351,15.0,True,37404
34,VCK,46.2,77.88,SC,North,AIADMK,34.02,Cheyyur,Kanchipuram,North,4042,2.26,5668,3.02,True,1626
35,AIADMK,46.62,80.65,SC,North,AIADMK,34.95,Maduranthakam,Kanchipuram,North,3570,1.92,7194,3.63,False,3624
36,DMK,44.38,80.1,GEN,North,TVK,37.28,Uthiramerur,Kanchipuram,North,1622,0.77,14223,6.24,True,12601
